PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
31.8,3680.0,28.38,-91.07,3,17712402460000,5065.0
31.3,2830.0,28.38,-91.07,3,17712402460000,5069.0
33.9,1400.0,28.38,-91.07,3,17712402460000,6069.0
19.9,4.2,28.38,-91.07,1,17712402460000,6083.0
31.9,1975.0,28.38,-91.07,3,17712402460000,6228.0
32.9,1980.0,28.38,-91.07,3,17712402460000,6230.0
33.0,1400.0,28.38,-91.07,3,17712402460000,6232.0
19.3,8.8,28.38,-91.07,1,17712402460000,6237.0
28.1,760.0,28.38,-91.07,3,17712402460000,6239.0
24.4,80.0,28.38,-91.07,2,17712402460000,6247.0
32.1,2010.0,28.38,-91.07,3,17712402460000,6454.0
33.1,1680.0,28.38,-91.07,3,17712402460000,6457.0
31.4,1520.0,28.38,-91.07,3,17712402460000,6460.0
30.7,783.0,28.38,-91.07,3,17712402460000,6463.0
24.1,52.0,28.38,-91.07,2,17712402460000,6466.0
19.1,9.5,28.38,-91.07,1,17712402460000,6480.0
31.0,1620.0,28.38,-91.07,3,17712402460000,6484.0
29.1,238.0,28.38,-91.07,3,17712402460000,6488.0
19.9,7.1,28.38,-91.07,1,17712402460000,6520.0
18.7,7.0,28.38,-91.07,1,17712402460000,6912.0
20.1,9.5,28.38,-91.07,1,17712402460000,6955.0
23.9,30.0,28.38,-91.07,2,17712402460000,6993.0
19.6,9.0,28.38,-91.07,1,17712402460000,6997.0
25.2,74.0,28.38,-91.07,2,17712402460000,7005.0
30.2,1720.0,28.38,-91.07,3,17712402460000,7017.0
20.0,9.7,28.38,-91.07,1,17712402460000,7019.0
33.8,1500.0,28.38,-91.07,3,17712402460000,7023.0
19.7,8.5,28.38,-91.07,1,17712402460000,7024.0
29.6,1330.0,28.38,-91.07,3,17712402460000,7428.0
29.1,968.0,28.38,-91.07,3,17712402460000,7434.0
34.5,1360.0,28.38,-91.07,3,17712402460000,7436.0
20.0,8.5,28.38,-91.07,1,17712402460000,7511.0
