PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
30.0,2000.0,28.98,-90.74,3,17713401560000,11372.0
31.6,1100.0,28.98,-90.74,3,17713401560000,11609.0
29.9,135.0,28.98,-90.74,2,17713401560000,11696.0
30.2,350.0,28.98,-90.74,2,17713401560000,11760.0
26.4,8.3,28.98,-90.74,1,17713401560000,11874.0
26.3,7.5,28.98,-90.74,1,17713401560000,11876.0
25.0,7.7,28.98,-90.74,1,17713401560000,11894.0
28.1,20.0,28.98,-90.74,1,17713401560000,11898.0
30.7,250.0,28.98,-90.74,2,17713401560000,12007.0
31.9,1900.0,28.98,-90.74,3,17713401560000,12010.0
