PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
27.8,5.4,29.0,-90.12,2,17717200420000,2053.0
29.6,26.0,29.0,-90.12,3,17717200420000,2055.0
28.8,13.0,29.0,-90.12,3,17717200420000,2057.0
26.7,145.0,29.0,-90.12,3,17717200420000,4389.0
22.6,4.5,29.0,-90.12,1,17717200420000,4394.0
23.6,18.0,29.0,-90.12,3,17717200420000,4404.0
27.0,165.0,29.0,-90.12,3,17717200420000,4409.0
26.0,140.0,29.0,-90.12,3,17717200420000,4419.0
24.5,7.2,29.0,-90.12,1,17717200420000,4424.0
24.9,6.8,29.0,-90.12,1,17717200420000,4482.0
23.3,4.8,29.0,-90.12,1,17717200420000,12934.0
23.1,3.0,29.0,-90.12,1,17717200420000,12937.0
24.3,6.0,29.0,-90.12,1,17717200420000,13030.0
22.7,2.9,29.0,-90.12,1,17717200420000,13041.0
27.4,30.0,29.0,-90.12,3,17717200420000,13072.0
22.4,3.2,29.0,-90.12,1,17717200420000,13076.0
20.7,1.4,29.0,-90.12,1,17717200420000,13087.0
26.9,28.0,29.0,-90.12,3,17717200420000,13090.0
27.2,45.0,29.0,-90.12,3,17717200420000,13207.0
23.6,3.2,29.0,-90.12,1,17717200420000,13209.0
31.1,340.0,29.0,-90.12,3,17717200420000,13329.0
25.0,24.0,29.0,-90.12,3,17717200420000,13331.0
28.7,135.0,29.0,-90.12,3,17717200420000,13333.0
29.3,340.0,29.0,-90.12,3,17717200420000,13337.0
26.3,45.0,29.0,-90.12,3,17717200420000,13438.0
26.9,58.0,29.0,-90.12,3,17717200420000,13443.0
29.1,380.0,29.0,-90.12,3,17717200420000,13448.0
19.9,3.1,29.0,-90.12,1,17717200420000,13457.0
25.0,8.0,29.0,-90.12,1,17717200420000,13479.0
24.9,8.6,29.0,-90.12,1,17717200420000,13479.0
23.1,7.2,29.0,-90.12,2,17717200420000,13483.0
29.6,410.0,29.0,-90.12,3,17717200420000,13484.0
26.8,70.0,29.0,-90.12,3,17717200420000,13745.0
22.2,3.1,29.0,-90.12,1,17717200420000,13749.0
23.8,4.2,29.0,-90.12,1,17717200420000,13753.0
26.4,40.0,29.0,-90.12,3,17717200420000,13757.0
30.7,530.0,29.0,-90.12,3,17717200420000,13766.0
25.9,62.0,29.0,-90.12,3,17717200420000,13770.0
28.7,92.0,29.0,-90.12,3,17717200420000,13777.0
23.5,5.0,29.0,-90.12,1,17717200420000,13784.0
27.8,120.0,29.0,-90.12,3,17717200420000,14029.0
24.5,6.2,29.0,-90.12,1,17717200420000,14048.0
22.2,3.8,29.0,-90.12,1,17717200420000,14050.0
24.0,5.4,29.0,-90.12,1,17717200420000,14052.0
29.6,390.0,29.0,-90.12,3,17717200420000,14053.0
29.1,255.0,29.0,-90.12,3,17717200420000,14072.0
28.6,225.0,29.0,-90.12,3,17717200420000,14074.0
22.8,1.7,29.0,-90.12,1,17717200420000,14134.0
