PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
20.9,2.0,29.47,-88.95,1,17725405140100,2.0
22.3,6.5,29.47,-88.95,2,17725405140100,8007.0
22.1,8.2,29.47,-88.95,2,17725405140100,8010.0
22.2,9.1,29.47,-88.95,2,17725405140100,8011.0
24.1,32.0,29.47,-88.95,2,17725405140100,8012.0
23.9,27.0,29.47,-88.95,2,17725405140100,8014.0
22.0,4.4,29.47,-88.95,1,17725405140100,8395.0
22.4,12.0,29.47,-88.95,2,17725405140100,8398.0
23.6,40.0,29.47,-88.95,2,17725405140100,8399.0
21.9,3.4,29.47,-88.95,1,17725405140100,8408.0
22.2,4.6,29.47,-88.95,2,17725405140100,8409.0
19.9,6.3,29.47,-88.95,1,17725405140100,8410.0
22.4,5.4,29.47,-88.95,2,17725405140100,8411.0
29.3,310.0,29.47,-88.95,3,17725405140100,8494.0
31.7,620.0,29.47,-88.95,3,17725405140100,8496.0
31.8,740.0,29.47,-88.95,3,17725405140100,8497.0
32.0,830.0,29.47,-88.95,3,17725405140100,8499.0
31.1,780.0,29.47,-88.95,3,17725405140100,8501.0
29.8,280.0,29.47,-88.95,3,17725405140100,8503.0
24.2,35.0,29.47,-88.95,2,17725405140100,8509.0
31.7,860.0,29.47,-88.95,3,17725405140100,8510.0
30.2,330.0,29.47,-88.95,3,17725405140100,8512.0
29.0,190.0,29.47,-88.95,3,17725405140100,8514.0
19.6,5.3,29.47,-88.95,1,17725405140100,8519.0
19.5,4.2,29.47,-88.95,1,17725405140100,8525.0
18.9,2.2,29.47,-88.95,1,17725405140100,8530.0
21.4,3.6,29.47,-88.95,1,17725405140100,8533.0
21.7,3.0,29.47,-88.95,1,17725405140100,8534.0
26.6,160.0,29.47,-88.95,3,17725405140100,8536.0
27.8,88.0,29.47,-88.95,3,17725405140100,8541.0
27.8,58.0,29.47,-88.95,3,17725405140100,8550.0
27.5,70.0,29.47,-88.95,3,17725405140100,8555.0
23.0,7.0,29.47,-88.95,2,17725405140100,8559.0
19.6,0.9,29.47,-88.95,1,17725405140100,8562.5
30.4,210.0,29.47,-88.95,3,17725405140100,8566.0
25.2,26.0,29.47,-88.95,2,17725405140100,8569.0
20.1,4.8,29.47,-88.95,1,17725405140100,8637.0
20.4,7.2,29.47,-88.95,1,17725405140100,8638.0
19.1,3.7,29.47,-88.95,1,17725405140100,8639.0
21.2,4.0,29.47,-88.95,1,17725405140100,8642.0
22.0,2.9,29.47,-88.95,1,17725405140100,8645.0
27.9,460.0,29.47,-88.95,3,17725405140100,8649.0
28.2,275.0,29.47,-88.95,3,17725405140100,8650.0
25.3,14.0,29.47,-88.95,2,17725405140100,8652.0
21.8,6.2,29.47,-88.95,2,17725405140100,8653.0
24.9,94.0,29.47,-88.95,3,17725405140100,8654.0
26.5,110.0,29.47,-88.95,3,17725405140100,8655.0
20.9,2.4,29.47,-88.95,1,17725405140100,8659.0
19.2,1.7,29.47,-88.95,1,17725405140100,8660.0
18.0,0.7,29.47,-88.95,1,17725405140100,8662.0
22.2,5.1,29.47,-88.95,2,17725405140100,8663.0
23.7,8.2,29.47,-88.95,2,17725405140100,8669.0
20.7,1.8,29.47,-88.95,1,17725405140100,8673.0
18.1,1.4,29.47,-88.95,1,17725405140100,8677.0
24.0,22.0,29.47,-88.95,2,17725405140100,8678.0
25.9,100.0,29.47,-88.95,3,17725405140100,8679.0
21.9,5.0,29.47,-88.95,1,17725405140100,8683.0
26.6,155.0,29.47,-88.95,3,17725405140100,8685.0
22.7,17.0,29.47,-88.95,2,17725405140100,8686.0
20.3,1.9,29.47,-88.95,1,17725405140100,8691.0
21.3,7.7,29.47,-88.95,2,17725405140100,8692.0
18.9,1.3,29.47,-88.95,1,17725405140100,8699.0
21.2,2.2,29.47,-88.95,1,17725405140100,8706.0
25.1,65.0,29.47,-88.95,3,17725405140100,8712.0
19.4,1.6,29.47,-88.95,1,17725405140100,8714.0
19.9,2.3,29.47,-88.95,1,17725405140100,8716.0
20.6,1.9,29.47,-88.95,1,17725405140100,8719.0
20.4,2.7,29.47,-88.95,1,17725405140100,8722.0
20.7,4.1,29.47,-88.95,1,17725405140100,8724.0
21.2,3.4,29.47,-88.95,1,17725405140100,8726.0
27.8,220.0,29.47,-88.95,3,17725405140100,8729.0
23.3,9.2,29.47,-88.95,2,17725405140100,8732.0
21.6,3.5,29.47,-88.95,1,17725405140100,8734.0
27.9,185.0,29.47,-88.95,3,17725405140100,8736.0
22.9,6.7,29.47,-88.95,2,17725405140100,8737.0
20.0,1.5,29.47,-88.95,1,17725405140100,8739.0
27.7,140.0,29.47,-88.95,3,17725405140100,8740.0
20.9,2.8,29.47,-88.95,1,17725405140100,8743.0
28.7,940.0,29.47,-88.95,3,17725405140100,8778.0
28.4,730.0,29.47,-88.95,3,17725405140100,8783.0
26.9,360.0,29.47,-88.95,3,17725405140100,8789.0
30.2,1050.0,29.47,-88.95,3,17725405140100,8803.0
27.8,300.0,29.47,-88.95,3,17725405140100,8824.0
28.2,470.0,29.47,-88.95,3,17725405140100,8853.0
28.7,640.0,29.47,-88.95,3,17725405140100,8860.0
19.9,1.9,29.47,-88.95,1,17725405140100,8917.0
