PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
16.2,4.3,31.91,-89.9,1,23127202750000,13246.0
24.8,88.0,31.91,-89.9,2,23127202750000,13308.0
22.8,65.0,31.91,-89.9,2,23127202750000,13309.0
18.4,7.6,31.91,-89.9,1,23127202750000,13310.0
27.7,358.0,31.91,-89.9,2,23127202750000,13715.0
17.7,6.1,31.91,-89.9,1,23127202750000,13717.0
17.3,5.3,31.91,-89.9,1,23127202750000,13721.0
15.1,4.3,31.91,-89.9,1,23127202750000,13795.0
14.5,3.9,31.91,-89.9,1,23127202750000,13798.0
13.5,0.8,31.91,-89.9,3,23127202750000,13804.0
13.4,0.6,31.91,-89.9,3,23127202750000,13947.0
23.8,78.0,31.91,-89.9,2,23127202750000,13948.0
