PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
17.9,1.1,28.85,-90.64,1,17713402050000,15746.0
27.0,830.0,28.85,-90.64,3,17713402050000,15994.0
28.1,138.0,28.85,-90.64,3,17713402050000,16002.0
26.6,670.0,28.85,-90.64,3,17713402050000,16023.0
28.0,1300.0,28.85,-90.64,3,17713402050000,16032.0
26.0,29.0,28.85,-90.64,2,17713402050000,16455.0
18.2,3.7,28.85,-90.64,1,17713402050000,16473.0
17.2,0.5,28.85,-90.64,1,17713402050000,16479.0
18.3,4.0,28.85,-90.64,1,17713402050000,16485.0
17.9,1.1,28.85,-90.64,1,17713402050000,16489.0
20.0,15.0,28.85,-90.64,1,17713402050000,16497.0
18.1,1.6,28.85,-90.64,1,17713402050000,16508.0
18.0,1.2,28.85,-90.64,1,17713402050000,16511.0
18.2,1.9,28.85,-90.64,1,17713402050000,16516.0
17.4,0.7,28.85,-90.64,1,17713402050000,16534.0
18.8,6.9,28.85,-90.64,1,17713402050000,16543.0
18.0,1.3,28.85,-90.64,1,17713402050000,16565.0
17.9,1.0,28.85,-90.64,1,17713402050000,16595.0
17.4,0.6,28.85,-90.64,1,17713402050000,16623.0
17.0,0.3,28.85,-90.64,1,17713402050000,16628.0
17.3,0.5,28.85,-90.64,1,17713402050000,16640.0
24.8,180.0,28.85,-90.64,2,17713402050000,16896.0
18.2,1.7,28.85,-90.64,1,17713402050000,16901.0
25.5,240.0,28.85,-90.64,2,17713402050000,16901.0
25.9,290.0,28.85,-90.64,2,17713402050000,16906.0
21.7,65.0,28.85,-90.64,2,17713402050000,16911.0
25.7,270.0,28.85,-90.64,2,17713402050000,16932.0
17.5,0.8,28.85,-90.64,1,17713402050000,17041.0
25.8,240.0,28.85,-90.64,2,17713402050000,17066.0
19.0,8.5,28.85,-90.64,1,17713402050000,17083.0
