PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
24.6,52.0,27.92,-97.47,2,42409312300000,1303.0
19.2,3.6,27.92,-97.47,1,42409312300000,2700.0
18.7,5.1,27.92,-97.47,1,42409312300000,2964.0
20.2,11.0,27.92,-97.47,3,42409312300000,2965.0
19.6,6.3,27.92,-97.47,3,42409312300000,2966.0
20.4,12.0,27.92,-97.47,3,42409312300000,3018.0
19.8,9.6,27.92,-97.47,3,42409312300000,3020.0
21.0,16.0,27.92,-97.47,3,42409312300000,3021.0
18.9,2.7,27.92,-97.47,1,42409312300000,3022.0
25.8,78.0,27.92,-97.47,2,42409312300000,3023.0
28.2,272.0,27.92,-97.47,2,42409312300000,3327.0
21.0,10.0,27.92,-97.47,3,42409312300000,3467.0
19.1,4.4,27.92,-97.47,1,42409312300000,3468.0
26.0,213.0,27.92,-97.47,2,42409312300000,3714.0
18.8,3.1,27.92,-97.47,1,42409312300000,3854.0
18.2,1.3,27.92,-97.47,1,42409312300000,3928.0
18.5,2.0,27.92,-97.47,1,42409312300000,3929.0
18.5,2.7,27.92,-97.47,1,42409312300000,3982.0
18.4,3.0,27.92,-97.47,1,42409312300000,3985.0
19.0,2.5,27.92,-97.47,1,42409312300000,3986.0
18.3,1.8,27.92,-97.47,1,42409312300000,3987.0
