PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
3.5,0.01,30.95,-87.11,3,9113202610000,15211.0
3.0,0.01,30.95,-87.11,3,9113202610000,15212.0
1.6,0.01,30.95,-87.11,3,9113202610000,15213.0
1.5,0.01,30.95,-87.11,3,9113202610000,15214.0
2.2,0.01,30.95,-87.11,3,9113202610000,15215.0
2.0,0.01,30.95,-87.11,3,9113202610000,15216.0
1.2,0.01,30.95,-87.11,3,9113202610000,15217.0
1.1,0.01,30.95,-87.11,3,9113202610000,15218.0
1.1,0.01,30.95,-87.11,3,9113202610000,15219.0
1.0,0.01,30.95,-87.11,3,9113202610000,15220.0
1.3,0.01,30.95,-87.11,3,9113202610000,15221.0
3.1,0.01,30.95,-87.11,3,9113202610000,15225.0
3.0,0.01,30.95,-87.11,3,9113202610000,15226.0
2.1,0.01,30.95,-87.11,3,9113202610000,15227.0
1.9,0.01,30.95,-87.11,3,9113202610000,15228.0
3.4,0.01,30.95,-87.11,3,9113202610000,15229.0
3.0,0.01,30.95,-87.11,3,9113202610000,15230.0
1.8,0.01,30.95,-87.11,3,9113202610000,15231.0
4.6,0.01,30.95,-87.11,3,9113202610000,15232.0
6.5,0.02,30.95,-87.11,1,9113202610000,15233.0
4.6,0.01,30.95,-87.11,3,9113202610000,15234.0
1.6,0.01,30.95,-87.11,3,9113202610000,15235.0
1.2,0.01,30.95,-87.11,3,9113202610000,15236.0
1.2,0.01,30.95,-87.11,3,9113202610000,15237.0
2.1,0.01,30.95,-87.11,3,9113202610000,15238.0
1.1,0.01,30.95,-87.11,3,9113202610000,15239.0
1.1,0.01,30.95,-87.11,3,9113202610000,15240.0
1.0,0.01,30.95,-87.11,3,9113202610000,15241.0
1.3,0.01,30.95,-87.11,3,9113202610000,15242.0
0.9,0.01,30.95,-87.11,3,9113202610000,15243.0
1.2,0.01,30.95,-87.11,3,9113202610000,15278.0
1.5,0.01,30.95,-87.11,3,9113202610000,15279.0
1.1,0.01,30.95,-87.11,3,9113202610000,15280.0
1.0,0.01,30.95,-87.11,3,9113202610000,15281.0
1.4,0.01,30.95,-87.11,3,9113202610000,15282.0
1.3,0.01,30.95,-87.11,3,9113202610000,15283.0
7.1,0.05,30.95,-87.11,1,9113202610000,15284.0
8.3,0.18,30.95,-87.11,1,9113202610000,15285.0
7.4,0.12,30.95,-87.11,1,9113202610000,15286.0
8.1,0.19,30.95,-87.11,1,9113202610000,15287.0
7.4,0.07,30.95,-87.11,1,9113202610000,15288.0
8.9,0.08,30.95,-87.11,1,9113202610000,15289.0
2.4,0.01,30.95,-87.11,3,9113202610000,15290.0
5.3,0.01,30.95,-87.11,3,9113202610000,15291.0
5.1,0.01,30.95,-87.11,3,9113202610000,15292.0
6.5,0.03,30.95,-87.11,1,9113202610000,15293.0
11.0,9.9,30.95,-87.11,2,9113202610000,15294.0
10.0,10.4,30.95,-87.11,2,9113202610000,15295.0
11.1,11.9,30.95,-87.11,2,9113202610000,15296.0
11.1,9.43,30.95,-87.11,2,9113202610000,15297.0
13.6,14.9,30.95,-87.11,2,9113202610000,15298.0
12.7,8.04,30.95,-87.11,2,9113202610000,15299.0
12.0,3.76,30.95,-87.11,2,9113202610000,15300.0
14.1,7.74,30.95,-87.11,2,9113202610000,15301.0
12.4,4.22,30.95,-87.11,2,9113202610000,15302.0
12.6,6.36,30.95,-87.11,2,9113202610000,15303.0
14.1,9.74,30.95,-87.11,2,9113202610000,15304.0
13.3,11.0,30.95,-87.11,2,9113202610000,15305.0
12.3,2.53,30.95,-87.11,2,9113202610000,15308.0
12.0,2.1,30.95,-87.11,2,9113202610000,15309.0
11.7,1.8,30.95,-87.11,2,9113202610000,15310.0
11.9,2.15,30.95,-87.11,2,9113202610000,15311.0
11.7,2.04,30.95,-87.11,2,9113202610000,15312.0
12.0,3.86,30.95,-87.11,2,9113202610000,15313.0
13.7,3.27,30.95,-87.11,2,9113202610000,15314.0
13.4,2.56,30.95,-87.11,2,9113202610000,15315.0
11.6,0.87,30.95,-87.11,2,9113202610000,15316.0
8.8,0.29,30.95,-87.11,1,9113202610000,15317.0
14.5,2.59,30.95,-87.11,2,9113202610000,15318.0
14.3,1.74,30.95,-87.11,2,9113202610000,15319.0
14.2,1.77,30.95,-87.11,2,9113202610000,15320.0
12.3,2.23,30.95,-87.11,2,9113202610000,15321.0
15.6,6.34,30.95,-87.11,2,9113202610000,15322.0
14.4,2.97,30.95,-87.11,2,9113202610000,15323.0
12.8,1.45,30.95,-87.11,2,9113202610000,15324.0
14.0,1.9,30.95,-87.11,2,9113202610000,15325.0
10.6,4.74,30.95,-87.11,2,9113202610000,15326.0
