PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
25.0,6.1,28.61,-95.17,2,42706400750000,4280.0
27.1,110.0,28.61,-95.17,3,42706400750000,4282.0
28.1,75.0,28.61,-95.17,3,42706400750000,4293.0
27.2,60.0,28.61,-95.17,3,42706400750000,4295.0
29.6,160.0,28.61,-95.17,1,42706400750000,6973.0
31.2,220.0,28.61,-95.17,1,42706400750000,6976.0
23.0,2.3,28.61,-95.17,2,42706400750000,6977.0
26.1,10.0,28.61,-95.17,2,42706400750000,6985.0
28.3,32.0,28.61,-95.17,3,42706400750000,6986.0
22.5,1.3,28.61,-95.17,2,42706400750000,7120.0
32.3,600.0,28.61,-95.17,1,42706400750000,7134.0
29.4,120.0,28.61,-95.17,1,42706400750000,7137.0
30.6,140.0,28.61,-95.17,1,42706400750000,7138.0
23.4,2.5,28.61,-95.17,2,42706400750000,7139.0
32.0,660.0,28.61,-95.17,1,42706400750000,7380.0
22.9,2.0,28.61,-95.17,2,42706400750000,7380.0
29.2,280.0,28.61,-95.17,1,42706400750000,7393.0
31.2,410.0,28.61,-95.17,1,42706400750000,7395.0
31.9,450.0,28.61,-95.17,1,42706400750000,7406.0
30.5,430.0,28.61,-95.17,1,42706400750000,7408.0
32.7,500.0,28.61,-95.17,1,42706400750000,7410.0
31.0,480.0,28.61,-95.17,1,42706400750000,7412.0
23.2,9.0,28.61,-95.17,2,42706400750000,9458.0
24.7,7.5,28.61,-95.17,2,42706400750000,9487.0
22.4,3.0,28.61,-95.17,2,42706400750000,9488.0
23.6,3.9,28.61,-95.17,2,42706400750000,9489.0
23.9,2.7,28.61,-95.17,2,42706400750000,9493.0
22.8,6.5,28.61,-95.17,2,42706400750000,9496.0
23.3,5.0,28.61,-95.17,2,42706400750000,9500.0
30.5,110.0,28.61,-95.17,1,42706400750000,9501.0
27.8,65.0,28.61,-95.17,3,42706400750000,9507.0
27.8,65.0,28.61,-95.17,3,42706400750000,9507.0
27.6,60.0,28.61,-95.17,3,42706400750000,9508.0
27.1,42.0,28.61,-95.17,3,42706400750000,9509.0
