PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
21.7,26.0,26.89,-98.03,2,42047311960000,7511.0
20.2,18.0,26.89,-98.03,1,42047311960000,7514.0
20.9,21.0,26.89,-98.03,1,42047311960000,7584.0
19.8,14.0,26.89,-98.03,1,42047311960000,7586.0
18.1,9.6,26.89,-98.03,1,42047311960000,7591.0
18.7,12.0,26.89,-98.03,1,42047311960000,7593.0
20.2,17.0,26.89,-98.03,1,42047311960000,7635.0
19.5,12.0,26.89,-98.03,1,42047311960000,7638.0
20.0,7.4,26.89,-98.03,3,42047311960000,7640.0
21.7,20.0,26.89,-98.03,1,42047311960000,7698.0
20.8,14.0,26.89,-98.03,1,42047311960000,7699.0
19.2,19.0,26.89,-98.03,3,42047311960000,8409.0
22.8,31.0,26.89,-98.03,2,42047311960000,8540.0
22.2,29.0,26.89,-98.03,2,42047311960000,8543.0
23.0,38.0,26.89,-98.03,2,42047311960000,8544.0
19.1,10.0,26.89,-98.03,1,42047311960000,8603.0
18.5,4.4,26.89,-98.03,3,42047311960000,8604.0
20.3,15.0,26.89,-98.03,1,42047311960000,8605.0
17.2,3.7,26.89,-98.03,3,42047311960000,8608.0
