PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
28.6,405.0,27.73,-98.61,3,42131316230000,924.0
26.5,318.0,27.73,-98.61,3,42131316230000,966.0
27.9,425.0,27.73,-98.61,3,42131316230000,973.0
25.9,179.0,27.73,-98.61,3,42131316230000,982.0
20.3,7.1,27.73,-98.61,1,42131316230000,1106.0
26.5,375.0,27.73,-98.61,3,42131316230000,1184.0
28.7,435.0,27.73,-98.61,3,42131316230000,1186.0
30.2,960.0,27.73,-98.61,3,42131316230000,2022.0
19.3,7.1,27.73,-98.61,1,42131316230000,2026.0
21.3,22.0,27.73,-98.61,1,42131316230000,2316.0
20.4,19.0,27.73,-98.61,1,42131316230000,2320.0
19.8,8.2,27.73,-98.61,1,42131316230000,2496.0
23.8,48.0,27.73,-98.61,2,42131316230000,2501.0
25.6,66.0,27.73,-98.61,2,42131316230000,2502.0
25.3,61.0,27.73,-98.61,2,42131316230000,2503.0
25.6,74.0,27.73,-98.61,2,42131316230000,2544.0
24.7,53.0,27.73,-98.61,2,42131316230000,2556.0
19.3,5.1,27.73,-98.61,1,42131316230000,2557.0
21.3,17.0,27.73,-98.61,1,42131316230000,2577.0
20.3,12.0,27.73,-98.61,1,42131316230000,2578.0
21.7,18.0,27.73,-98.61,1,42131316230000,2585.0
23.0,30.0,27.73,-98.61,2,42131316230000,2589.0
20.5,8.4,27.73,-98.61,1,42131316230000,2678.0
25.6,161.0,27.73,-98.61,3,42131316230000,2680.0
20.6,9.7,27.73,-98.61,1,42131316230000,2694.0
30.5,785.0,27.73,-98.61,3,42131316230000,2698.0
27.5,286.0,27.73,-98.61,3,42131316230000,2727.0
19.3,5.9,27.73,-98.61,1,42131316230000,2792.0
20.9,17.0,27.73,-98.61,1,42131316230000,2793.0
19.6,5.9,27.73,-98.61,1,42131316230000,2813.0
21.0,14.0,27.73,-98.61,1,42131316230000,2814.0
19.0,6.4,27.73,-98.61,1,42131316230000,2816.0
20.0,6.2,27.73,-98.61,1,42131316230000,2817.0
22.6,44.0,27.73,-98.61,2,42131316230000,2818.0
20.3,9.8,27.73,-98.61,1,42131316230000,2819.0
20.7,9.2,27.73,-98.61,1,42131316230000,2820.0
22.8,25.0,27.73,-98.61,2,42131316230000,2821.0
