PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
31.9,553.0,30.55,-93.29,3,17011206870000,5671.0
19.5,8.6,30.55,-93.29,2,17011206870000,6831.5
18.6,7.2,30.55,-93.29,2,17011206870000,6832.0
19.5,8.8,30.55,-93.29,2,17011206870000,6832.5
24.5,138.0,30.55,-93.29,1,17011206870000,6833.0
28.9,421.0,30.55,-93.29,3,17011206870000,6833.5
24.9,174.0,30.55,-93.29,1,17011206870000,6834.0
29.8,595.0,30.55,-93.29,3,17011206870000,6834.5
31.5,1260.0,30.55,-93.29,3,17011206870000,6835.0
27.6,387.0,30.55,-93.29,1,17011206870000,6835.5
24.5,126.0,30.55,-93.29,1,17011206870000,6836.0
