PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
29.6,2650.0,28.69,-91.39,2,17709405280100,9259.0
28.3,338.0,28.69,-91.39,2,17709405280100,9274.0
21.3,18.0,28.69,-91.39,1,17709405280100,9293.0
24.6,24.0,28.69,-91.39,1,17709405280100,9295.0
23.4,130.0,28.69,-91.39,1,17709405280100,9544.0
25.9,210.0,28.69,-91.39,1,17709405280100,9545.0
25.8,195.0,28.69,-91.39,1,17709405280100,9549.0
23.3,32.0,28.69,-91.39,1,17709405280100,9726.0
23.0,21.0,28.69,-91.39,1,17709405280100,9728.0
17.6,4.6,28.69,-91.39,3,17709405280100,9865.0
17.5,5.2,28.69,-91.39,3,17709405280100,9906.0
17.9,7.2,28.69,-91.39,3,17709405280100,9931.0
