PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
15.8,2.3,27.99,-91.78,2,17710409080000,5690.0
16.5,1.8,27.99,-91.78,2,17710409080000,5695.0
25.6,546.0,27.99,-91.78,1,17710409080000,5699.0
25.1,43.0,27.99,-91.78,3,17710409080000,5710.0
31.0,206.0,27.99,-91.78,1,17710409080000,5727.0
33.4,2090.0,27.99,-91.78,1,17710409080000,5731.0
24.9,78.0,27.99,-91.78,3,17710409080000,7218.0
15.3,2.3,27.99,-91.78,2,17710409080000,7534.0
15.0,4.5,27.99,-91.78,2,17710409080000,7543.0
15.3,1.5,27.99,-91.78,2,17710409080000,7592.0
19.7,9.0,27.99,-91.78,2,17710409080000,7608.0
26.2,52.0,27.99,-91.78,3,17710409080000,7609.0
19.6,7.6,27.99,-91.78,2,17710409080000,7611.0
19.6,6.5,27.99,-91.78,2,17710409080000,7641.0
19.6,9.1,27.99,-91.78,2,17710409080000,7649.0
28.8,980.0,27.99,-91.78,1,17710409080000,7651.0
28.8,664.0,27.99,-91.78,1,17710409080000,7653.0
29.5,918.0,27.99,-91.78,1,17710409080000,7657.0
18.8,9.3,27.99,-91.78,2,17710409080000,7661.0
19.1,8.6,27.99,-91.78,2,17710409080000,7663.0
32.0,2630.0,27.99,-91.78,1,17710409080000,7665.0
19.7,7.1,27.99,-91.78,2,17710409080000,7669.0
18.9,8.9,27.99,-91.78,2,17710409080000,7671.0
17.0,6.4,27.99,-91.78,2,17710409080000,7673.0
19.0,5.4,27.99,-91.78,2,17710409080000,7675.0
17.6,5.5,27.99,-91.78,2,17710409080000,7697.0
