PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
21.4,19.0,26.44,-98.46,2,42215301640000,7570.0
18.8,4.2,26.44,-98.46,1,42215301640000,7676.0
19.1,7.1,26.44,-98.46,1,42215301640000,7796.0
17.9,2.8,26.44,-98.46,1,42215301640000,8364.0
19.1,4.4,26.44,-98.46,1,42215301640000,8418.0
19.3,11.0,26.44,-98.46,1,42215301640000,8454.0
23.2,39.0,26.44,-98.46,3,42215301640000,8588.0
23.6,47.0,26.44,-98.46,3,42215301640000,8607.0
19.4,9.0,26.44,-98.46,1,42215301640000,9078.0
23.2,33.0,26.44,-98.46,3,42215301640000,11286.0
20.1,11.0,26.44,-98.46,1,42215301640000,11298.0
21.4,14.0,26.44,-98.46,2,42215301640000,11320.5
22.2,19.0,26.44,-98.46,2,42215301640000,11330.0
21.6,17.0,26.44,-98.46,2,42215301640000,11338.0
23.1,21.0,26.44,-98.46,3,42215301640000,11351.0
23.6,23.0,26.44,-98.46,3,42215301640000,11359.5
20.9,12.0,26.44,-98.46,2,42215301640000,11362.0
22.8,18.0,26.44,-98.46,3,42215301640000,11369.0
19.5,3.6,26.44,-98.46,1,42215301640000,11382.0
23.8,27.0,26.44,-98.46,3,42215301640000,11385.0
24.0,34.0,26.44,-98.46,3,42215301640000,11388.0
24.1,39.0,26.44,-98.46,3,42215301640000,12671.0
22.5,18.0,26.44,-98.46,3,42215301640000,12674.0
23.4,27.0,26.44,-98.46,3,42215301640000,12680.0
21.8,19.0,26.44,-98.46,2,42215301640000,12706.0
23.0,28.0,26.44,-98.46,3,42215301640000,12716.0
22.9,28.0,26.44,-98.46,3,42215301640000,12719.0
21.8,20.0,26.44,-98.46,2,42215301640000,12722.0
20.7,13.0,26.44,-98.46,2,42215301640000,12727.0
19.9,10.0,26.44,-98.46,1,42215301640000,12732.0
21.3,16.0,26.44,-98.46,2,42215301640000,12734.0
19.8,5.9,26.44,-98.46,1,42215301640000,12738.0
18.0,4.2,26.44,-98.46,1,42215301640000,12741.0
19.8,5.3,26.44,-98.46,1,42215301640000,12767.0
19.4,7.1,26.44,-98.46,1,42215301640000,12771.0
