PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
26.0,46.0,27.82,-94.75,2,60804401550000,8027.0
20.4,7.8,27.82,-94.75,3,60804401550000,8035.0
19.7,6.7,27.82,-94.75,3,60804401550000,8792.0
19.8,7.1,27.82,-94.75,3,60804401550000,8795.0
14.8,0.1,27.82,-94.75,1,60804401550000,8797.0
14.9,0.1,27.82,-94.75,1,60804401550000,8823.0
11.7,0.1,27.82,-94.75,1,60804401550000,8827.0
14.1,0.1,27.82,-94.75,1,60804401550000,8828.0
20.2,9.4,27.82,-94.75,3,60804401550000,8846.0
27.1,140.0,27.82,-94.75,2,60804401550000,8847.0
19.2,7.3,27.82,-94.75,3,60804401550000,8849.0
19.0,6.5,27.82,-94.75,3,60804401550000,8850.0
19.8,8.6,27.82,-94.75,3,60804401550000,8851.0
25.0,74.0,27.82,-94.75,2,60804401550000,9129.0
11.4,0.1,27.82,-94.75,1,60804401550000,9448.0
11.3,0.1,27.82,-94.75,1,60804401550000,9449.0
10.9,0.1,27.82,-94.75,1,60804401550000,9450.0
11.3,0.1,27.82,-94.75,1,60804401550000,9451.0
11.2,0.1,27.82,-94.75,1,60804401550000,9452.0
11.9,0.1,27.82,-94.75,1,60804401550000,9550.0
28.4,95.0,27.82,-94.75,2,60804401550000,9555.0
25.8,52.0,27.82,-94.75,2,60804401550000,9556.0
24.3,44.0,27.82,-94.75,2,60804401550000,9562.0
28.2,325.0,27.82,-94.75,2,60804401550000,9715.0
14.4,0.1,27.82,-94.75,1,60804401550000,10150.0
11.0,0.1,27.82,-94.75,1,60804401550000,10152.0
12.7,0.1,27.82,-94.75,1,60804401550000,10153.0
12.6,0.1,27.82,-94.75,1,60804401550000,10154.0
12.1,0.1,27.82,-94.75,1,60804401550000,10233.0
12.1,0.1,27.82,-94.75,1,60804401550000,10237.0
