PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
27.2,120.0,28.86,-91.13,3,17711004740100,8495.0
22.0,8.0,28.86,-91.13,2,17711004740100,8526.0
22.8,7.1,28.86,-91.13,2,17711004740100,8528.0
18.2,5.7,28.86,-91.13,1,17711004740100,8622.0
25.7,19.0,28.86,-91.13,2,17711004740100,8784.0
24.0,35.0,28.86,-91.13,2,17711004740100,8786.0
25.5,28.0,28.86,-91.13,2,17711004740100,8792.0
29.0,165.0,28.86,-91.13,3,17711004740100,8808.0
31.0,420.0,28.86,-91.13,3,17711004740100,8811.0
32.4,1400.0,28.86,-91.13,3,17711004740100,8814.0
32.3,1490.0,28.86,-91.13,3,17711004740100,8817.0
32.8,1500.0,28.86,-91.13,3,17711004740100,8821.0
23.3,12.0,28.86,-91.13,2,17711004740100,9090.0
16.4,2.0,28.86,-91.13,1,17711004740100,9114.0
25.2,22.0,28.86,-91.13,2,17711004740100,9116.0
31.7,1020.0,28.86,-91.13,3,17711004740100,9175.0
30.6,1130.0,28.86,-91.13,3,17711004740100,9177.0
33.4,1390.0,28.86,-91.13,3,17711004740100,9179.0
17.4,5.0,28.86,-91.13,1,17711004740100,9303.0
23.5,13.0,28.86,-91.13,2,17711004740100,9388.0
30.9,950.0,28.86,-91.13,3,17711004740100,9522.0
32.0,750.0,28.86,-91.13,3,17711004740100,9526.0
15.5,3.0,28.86,-91.13,1,17711004740100,9693.0
24.5,9.0,28.86,-91.13,2,17711004740100,9696.0
29.5,220.0,28.86,-91.13,3,17711004740100,9699.0
26.3,75.0,28.86,-91.13,2,17711004740100,9702.0
22.2,5.1,28.86,-91.13,2,17711004740100,9714.0
26.1,45.0,28.86,-91.13,2,17711004740100,9974.0
33.4,1460.0,28.86,-91.13,3,17711004740100,9978.0
22.8,8.0,28.86,-91.13,2,17711004740100,9988.0
23.0,14.0,28.86,-91.13,2,17711004740100,9995.0
14.6,1.1,28.86,-91.13,1,17711004740100,10003.0
20.6,7.0,28.86,-91.13,2,17711004740100,10094.0
30.5,710.0,28.86,-91.13,3,17711004740100,10104.0
