PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
25.7,492.0,28.09,-98.54,1,42311321210000,592.0
23.2,149.0,28.09,-98.54,1,42311321210000,732.0
22.3,77.0,28.09,-98.54,1,42311321210000,733.0
22.6,53.0,28.09,-98.54,1,42311321210000,734.0
23.5,71.0,28.09,-98.54,1,42311321210000,735.0
22.7,48.0,28.09,-98.54,1,42311321210000,736.0
27.4,866.0,28.09,-98.54,3,42311321210000,832.0
19.9,8.3,28.09,-98.54,2,42311321210000,838.0
19.3,7.6,28.09,-98.54,2,42311321210000,840.0
19.6,9.2,28.09,-98.54,2,42311321210000,1143.0
23.4,237.0,28.09,-98.54,1,42311321210000,1145.0
21.7,64.0,28.09,-98.54,1,42311321210000,1148.0
19.3,7.8,28.09,-98.54,2,42311321210000,1247.0
18.9,5.0,28.09,-98.54,2,42311321210000,1252.0
26.1,205.0,28.09,-98.54,1,42311321210000,1344.0
18.6,3.9,28.09,-98.54,2,42311321210000,1370.0
29.0,730.0,28.09,-98.54,3,42311321210000,1421.0
29.1,593.0,28.09,-98.54,3,42311321210000,1436.0
19.4,8.2,28.09,-98.54,2,42311321210000,1452.0
20.8,31.0,28.09,-98.54,1,42311321210000,2408.0
23.4,68.0,28.09,-98.54,1,42311321210000,2409.0
21.2,46.0,28.09,-98.54,1,42311321210000,2910.0
24.5,162.0,28.09,-98.54,1,42311321210000,2914.0
22.7,33.0,28.09,-98.54,1,42311321210000,2982.0
18.8,4.7,28.09,-98.54,2,42311321210000,2986.0
27.2,388.0,28.09,-98.54,3,42311321210000,2987.0
19.4,7.5,28.09,-98.54,2,42311321210000,3510.0
19.0,20.0,28.09,-98.54,1,42311321210000,3555.0
29.2,417.0,28.09,-98.54,3,42311321210000,3556.0
18.3,2.6,28.09,-98.54,2,42311321210000,3557.0
24.7,113.0,28.09,-98.54,1,42311321210000,3558.0
22.4,81.0,28.09,-98.54,1,42311321210000,3566.0
29.1,625.0,28.09,-98.54,3,42311321210000,3571.0
25.5,210.0,28.09,-98.54,1,42311321210000,3888.0
24.9,175.0,28.09,-98.54,1,42311321210000,4055.0
