PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
27.4,270.0,29.27,-93.0,3,17703002980000,8428.0
22.9,3.6,29.27,-93.0,2,17703002980000,9129.0
20.7,1.8,29.27,-93.0,2,17703002980000,9133.0
29.6,400.0,29.27,-93.0,3,17703002980000,9241.0
24.1,135.0,29.27,-93.0,1,17703002980000,9246.0
26.2,86.0,29.27,-93.0,1,17703002980000,9817.0
26.7,45.0,29.27,-93.0,1,17703002980000,9823.0
27.3,180.0,29.27,-93.0,3,17703002980000,9825.0
25.2,105.0,29.27,-93.0,1,17703002980000,9832.0
26.0,115.0,29.27,-93.0,1,17703002980000,9835.0
27.0,260.0,29.27,-93.0,3,17703002980000,9837.0
21.7,34.0,29.27,-93.0,2,17703002980000,9849.0
26.2,280.0,29.27,-93.0,3,17703002980000,9850.0
25.8,130.0,29.27,-93.0,1,17703002980000,9854.0
