PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
19.8,1.0,29.0,-88.72,1,60816400750000,3035.0
22.7,7.1,29.0,-88.72,1,60816400750000,3037.0
25.7,37.0,29.0,-88.72,2,60816400750000,3206.0
28.4,153.0,29.0,-88.72,3,60816400750000,3224.0
28.7,83.0,29.0,-88.72,3,60816400750000,3420.0
22.5,2.3,29.0,-88.72,1,60816400750000,3739.0
25.8,22.0,29.0,-88.72,2,60816400750000,3880.0
27.1,52.0,29.0,-88.72,3,60816400750000,4195.0
30.1,115.0,29.0,-88.72,3,60816400750000,4205.0
30.5,609.0,29.0,-88.72,3,60816400750000,4218.0
25.9,39.0,29.0,-88.72,2,60816400750000,4228.0
23.3,4.9,29.0,-88.72,1,60816400750000,4238.0
26.5,41.0,29.0,-88.72,2,60816400750000,4256.0
20.9,9.1,29.0,-88.72,1,60816400750000,6276.0
20.0,1.5,29.0,-88.72,1,60816400750000,6280.0
24.7,93.0,29.0,-88.72,2,60816400750000,6518.0
21.3,5.3,29.0,-88.72,1,60816400750000,6522.0
18.4,0.5,29.0,-88.72,1,60816400750000,6526.0
24.5,97.0,29.0,-88.72,2,60816400750000,6542.0
26.2,145.0,29.0,-88.72,3,60816400750000,6544.0
23.9,38.0,29.0,-88.72,2,60816400750000,6546.0
23.6,20.0,29.0,-88.72,2,60816400750000,6600.0
24.3,52.0,29.0,-88.72,2,60816400750000,6672.0
20.4,1.5,29.0,-88.72,1,60816400750000,6676.0
20.9,2.0,29.0,-88.72,1,60816400750000,6681.0
25.2,54.0,29.0,-88.72,2,60816400750000,6872.0
19.2,1.4,29.0,-88.72,1,60816400750000,7007.0
23.7,43.0,29.0,-88.72,2,60816400750000,7047.0
19.3,1.2,29.0,-88.72,1,60816400750000,7084.0
22.9,16.0,29.0,-88.72,2,60816400750000,7129.0
24.4,64.0,29.0,-88.72,2,60816400750000,7290.0
23.3,43.0,29.0,-88.72,2,60816400750000,7294.0
24.1,45.0,29.0,-88.72,2,60816400750000,7298.0
23.6,38.0,29.0,-88.72,2,60816400750000,7306.0
22.9,16.0,29.0,-88.72,2,60816400750000,7476.0
22.4,12.0,29.0,-88.72,2,60816400750000,7478.0
22.7,15.0,29.0,-88.72,2,60816400750000,7486.0
21.2,2.0,29.0,-88.72,1,60816400750000,7494.0
20.6,1.3,29.0,-88.72,1,60816400750000,7513.0
18.6,0.7,29.0,-88.72,1,60816400750000,7523.0
