PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
17.1,10.0,33.23,-93.51,2,3073101960000,4516.0
15.3,7.2,33.23,-93.51,2,3073101960000,4517.0
13.8,5.1,33.23,-93.51,2,3073101960000,4618.0
19.3,180.0,33.23,-93.51,3,3073101960000,4644.0
13.3,2.3,33.23,-93.51,2,3073101960000,4645.0
17.7,94.0,33.23,-93.51,3,3073101960000,4646.0
15.6,62.0,33.23,-93.51,3,3073101960000,4647.0
26.4,310.0,33.23,-93.51,1,3073101960000,4768.0
27.1,560.0,33.23,-93.51,1,3073101960000,4769.0
23.1,260.0,33.23,-93.51,1,3073101960000,4770.0
28.4,790.0,33.23,-93.51,1,3073101960000,4771.0
25.2,670.0,33.23,-93.51,1,3073101960000,4772.0
27.3,810.0,33.23,-93.51,1,3073101960000,4774.0
27.4,680.0,33.23,-93.51,1,3073101960000,4775.0
17.4,118.0,33.23,-93.51,3,3073101960000,7009.0
18.2,138.0,33.23,-93.51,3,3073101960000,7010.0
14.3,96.0,33.23,-93.51,3,3073101960000,7011.0
