PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
19.1,4.0,26.85,-97.66,1,42261307110000,6193.0
19.5,5.4,26.85,-97.66,1,42261307110000,6197.0
20.8,16.0,26.85,-97.66,3,42261307110000,6205.0
18.8,3.7,26.85,-97.66,1,42261307110000,6495.0
18.6,1.9,26.85,-97.66,1,42261307110000,9104.0
18.8,2.1,26.85,-97.66,1,42261307110000,9107.0
18.8,2.6,26.85,-97.66,1,42261307110000,9137.0
19.2,3.3,26.85,-97.66,1,42261307110000,9623.0
18.5,3.7,26.85,-97.66,1,42261307110000,9627.0
22.7,43.0,26.85,-97.66,2,42261307110000,9635.0
19.4,5.1,26.85,-97.66,1,42261307110000,9638.0
24.9,88.0,26.85,-97.66,2,42261307110000,9713.0
24.1,78.0,26.85,-97.66,2,42261307110000,9899.0
