PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
29.7,438.0,29.69,-89.31,2,17726203310000,7296.0
21.3,39.6,29.69,-89.31,1,17726203310000,8796.0
27.2,228.0,29.69,-89.31,2,17726203310000,8848.0
25.3,80.7,29.69,-89.31,1,17726203310000,8862.0
27.6,193.0,29.69,-89.31,2,17726203310000,8922.0
28.1,256.0,29.69,-89.31,2,17726203310000,8950.0
26.0,317.0,29.69,-89.31,1,17726203310000,8989.0
22.6,50.0,29.69,-89.31,1,17726203310000,9013.0
19.7,11.3,29.69,-89.31,3,17726203310000,9034.0
21.9,71.3,29.69,-89.31,1,17726203310000,9086.0
24.5,108.0,29.69,-89.31,1,17726203310000,9205.0
26.5,173.0,29.69,-89.31,2,17726203310000,9281.0
18.5,5.7,29.69,-89.31,3,17726203310000,9307.0
25.8,228.0,29.69,-89.31,1,17726203310000,9460.0
24.2,131.0,29.69,-89.31,1,17726203310000,9466.0
23.6,162.0,29.69,-89.31,1,17726203310000,9475.0
24.4,158.0,29.69,-89.31,1,17726203310000,9483.0
27.3,204.0,29.69,-89.31,2,17726203310000,9546.0
26.8,193.0,29.69,-89.31,2,17726203310000,9546.0
27.5,229.0,29.69,-89.31,2,17726203310000,9578.0
29.4,318.0,29.69,-89.31,2,17726203310000,9681.0
23.1,46.7,29.69,-89.31,1,17726203310000,9682.0
24.7,136.0,29.69,-89.31,1,17726203310000,9694.0
19.4,8.4,29.69,-89.31,3,17726203310000,9695.0
