PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
24.7,36.0,29.14,-93.26,3,17700408520000,8944.0
18.4,1.3,29.14,-93.26,1,17700408520000,10162.0
28.7,290.0,29.14,-93.26,2,17700408520000,10167.0
30.2,510.0,29.14,-93.26,2,17700408520000,10170.0
31.3,890.0,29.14,-93.26,2,17700408520000,10173.0
27.5,51.0,29.14,-93.26,3,17700408520000,10174.0
15.4,0.1,29.14,-93.26,1,17700408520000,10181.0
17.8,0.1,29.14,-93.26,1,17700408520000,10186.0
17.2,0.2,29.14,-93.26,1,17700408520000,10190.0
17.1,0.2,29.14,-93.26,1,17700408520000,10196.0
19.5,1.0,29.14,-93.26,1,17700408520000,10202.0
28.4,490.0,29.14,-93.26,2,17700408520000,10210.0
31.4,900.0,29.14,-93.26,2,17700408520000,10212.0
29.1,520.0,29.14,-93.26,2,17700408520000,10213.0
27.9,190.0,29.14,-93.26,2,17700408520000,10214.0
