PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
19.2,3.8,29.42,-90.0,1,17051207900000,11442.0
21.9,6.7,29.42,-90.0,1,17051207900000,11465.0
31.4,690.0,29.42,-90.0,3,17051207900000,11473.0
19.4,2.3,29.42,-90.0,1,17051207900000,11736.0
21.7,5.8,29.42,-90.0,1,17051207900000,11808.0
22.0,7.4,29.42,-90.0,1,17051207900000,11809.0
25.1,54.0,29.42,-90.0,2,17051207900000,11815.0
25.1,45.0,29.42,-90.0,2,17051207900000,11819.0
21.3,4.1,29.42,-90.0,1,17051207900000,11821.0
24.0,9.0,29.42,-90.0,1,17051207900000,11826.0
29.6,290.0,29.42,-90.0,3,17051207900000,11836.0
29.0,740.0,29.42,-90.0,3,17051207900000,11839.0
20.3,8.2,29.42,-90.0,1,17051207900000,12135.0
22.7,5.0,29.42,-90.0,1,17051207900000,12227.0
22.5,7.9,29.42,-90.0,1,17051207900000,12228.0
30.7,650.0,29.42,-90.0,3,17051207900000,12232.0
21.6,4.4,29.42,-90.0,1,17051207900000,12351.0
24.1,3.6,29.42,-90.0,1,17051207900000,12353.0
24.4,16.0,29.42,-90.0,1,17051207900000,12358.0
29.1,260.0,29.42,-90.0,2,17051207900000,12360.0
25.0,170.0,29.42,-90.0,2,17051207900000,12362.0
30.0,195.0,29.42,-90.0,2,17051207900000,12363.0
31.8,700.0,29.42,-90.0,3,17051207900000,12364.0
30.4,320.0,29.42,-90.0,3,17051207900000,12366.0
29.6,310.0,29.42,-90.0,3,17051207900000,12367.0
28.5,285.0,29.42,-90.0,2,17051207900000,12368.0
30.1,840.0,29.42,-90.0,3,17051207900000,12369.0
28.1,260.0,29.42,-90.0,2,17051207900000,12370.0
31.7,760.0,29.42,-90.0,3,17051207900000,12371.0
31.4,860.0,29.42,-90.0,3,17051207900000,12372.0
32.8,910.0,29.42,-90.0,3,17051207900000,12373.0
32.8,870.0,29.42,-90.0,3,17051207900000,12374.0
32.8,970.0,29.42,-90.0,3,17051207900000,12376.0
30.3,900.0,29.42,-90.0,3,17051207900000,12382.0
29.7,1100.0,29.42,-90.0,3,17051207900000,12383.0
32.1,1200.0,29.42,-90.0,3,17051207900000,12384.0
32.6,1700.0,29.42,-90.0,3,17051207900000,12392.0
28.3,1350.0,29.42,-90.0,3,17051207900000,12394.0
31.4,1800.0,29.42,-90.0,3,17051207900000,12395.0
30.7,2100.0,29.42,-90.0,3,17051207900000,12396.0
30.0,2000.0,29.42,-90.0,3,17051207900000,12398.0
34.4,2900.0,29.42,-90.0,3,17051207900000,12399.0
32.1,1900.0,29.42,-90.0,3,17051207900000,12400.0
32.6,2200.0,29.42,-90.0,3,17051207900000,12402.0
33.9,2800.0,29.42,-90.0,3,17051207900000,12403.0
33.3,3100.0,29.42,-90.0,3,17051207900000,12404.0
30.7,1500.0,29.42,-90.0,3,17051207900000,12405.0
32.8,2800.0,29.42,-90.0,3,17051207900000,12406.0
28.2,210.0,29.42,-90.0,2,17051207900000,12407.0
27.8,160.0,29.42,-90.0,2,17051207900000,12408.0
29.7,560.0,29.42,-90.0,3,17051207900000,12409.0
28.5,440.0,29.42,-90.0,3,17051207900000,12410.0
28.0,1300.0,29.42,-90.0,3,17051207900000,12411.0
27.5,560.0,29.42,-90.0,2,17051207900000,12412.0
28.9,420.0,29.42,-90.0,3,17051207900000,12413.0
27.6,400.0,29.42,-90.0,2,17051207900000,12415.0
23.7,8.8,29.42,-90.0,1,17051207900000,12461.0
28.7,275.0,29.42,-90.0,2,17051207900000,12462.0
18.7,1.1,29.42,-90.0,1,17051207900000,12463.0
27.0,62.0,29.42,-90.0,2,17051207900000,12466.0
26.6,36.0,29.42,-90.0,2,17051207900000,12468.0
31.1,520.0,29.42,-90.0,3,17051207900000,12476.0
21.4,7.8,29.42,-90.0,1,17051207900000,12478.0
29.1,295.0,29.42,-90.0,2,17051207900000,12479.0
27.9,45.0,29.42,-90.0,2,17051207900000,12483.0
22.3,5.8,29.42,-90.0,1,17051207900000,12534.0
26.8,68.0,29.42,-90.0,2,17051207900000,12558.0
27.3,84.0,29.42,-90.0,2,17051207900000,12561.0
27.2,60.0,29.42,-90.0,2,17051207900000,12562.0
27.0,48.0,29.42,-90.0,2,17051207900000,12563.0
22.1,5.4,29.42,-90.0,1,17051207900000,12653.0
22.8,2.7,29.42,-90.0,1,17051207900000,12654.0
24.1,52.0,29.42,-90.0,2,17051207900000,12759.0
27.0,25.0,29.42,-90.0,2,17051207900000,12760.0
28.7,155.0,29.42,-90.0,2,17051207900000,12761.0
20.1,2.5,29.42,-90.0,1,17051207900000,12784.0
25.3,33.0,29.42,-90.0,2,17051207900000,12785.0
29.2,75.0,29.42,-90.0,2,17051207900000,12786.0
24.7,36.0,29.42,-90.0,2,17051207900000,12789.0
22.8,3.3,29.42,-90.0,1,17051207900000,12791.0
