PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
24.4,48.0,29.13,-92.38,3,17705407840000,917.0
22.2,15.0,29.13,-92.38,1,17705407840000,918.0
30.9,847.0,29.13,-92.38,2,17705407840000,919.0
32.9,1357.0,29.13,-92.38,2,17705407840000,920.0
20.6,4.8,29.13,-92.38,1,17705407840000,926.0
22.4,16.0,29.13,-92.38,1,17705407840000,929.0
21.2,4.1,29.13,-92.38,1,17705407840000,931.0
25.9,38.0,29.13,-92.38,3,17705407840000,932.0
20.5,3.1,29.13,-92.38,1,17705407840000,942.0
33.3,1119.0,29.13,-92.38,2,17705407840000,944.0
32.8,1089.0,29.13,-92.38,2,17705407840000,948.0
