PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
9.57,30.0,31.63,-89.18,3,23067207090000,15552.0
7.47,0.06,31.63,-89.18,2,23067207090000,15750.0
8.85,0.86,31.63,-89.18,1,23067207090000,15755.0
5.38,0.03,31.63,-89.18,2,23067207090000,15763.0
11.17,3.46,31.63,-89.18,3,23067207090000,15900.0
9.39,3.05,31.63,-89.18,1,23067207090000,16152.0
9.01,0.86,31.63,-89.18,1,23067207090000,16164.0
8.32,0.26,31.63,-89.18,1,23067207090000,16204.0
10.96,1.12,31.63,-89.18,3,23067207090000,16360.0
8.04,0.97,31.63,-89.18,1,23067207090000,16907.0
2.13,0.01,31.63,-89.18,2,23067207090000,17110.0
