PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
18.4,3.3,29.29,-92.32,2,17705404450000,10673.0
16.9,2.4,29.29,-92.32,1,17705404450000,10674.0
18.1,5.2,29.29,-92.32,2,17705404450000,10675.0
16.1,3.0,29.29,-92.32,1,17705404450000,10676.0
19.6,4.6,29.29,-92.32,2,17705404450000,10677.0
16.8,0.9,29.29,-92.32,1,17705404450000,10679.0
18.0,1.3,29.29,-92.32,1,17705404450000,10681.0
17.3,0.7,29.29,-92.32,1,17705404450000,10682.0
13.1,0.1,29.29,-92.32,1,17705404450000,10683.0
12.9,0.1,29.29,-92.32,1,17705404450000,10684.0
15.5,0.1,29.29,-92.32,1,17705404450000,10686.0
14.3,0.1,29.29,-92.32,1,17705404450000,10689.0
18.6,1.2,29.29,-92.32,1,17705404450000,11864.0
22.6,7.3,29.29,-92.32,2,17705404450000,11866.0
21.5,5.4,29.29,-92.32,2,17705404450000,11867.0
22.4,6.0,29.29,-92.32,2,17705404450000,11870.0
20.8,3.7,29.29,-92.32,2,17705404450000,11872.0
19.5,2.0,29.29,-92.32,2,17705404450000,11886.0
25.3,220.0,29.29,-92.32,3,17705404450000,11896.0
23.8,97.0,29.29,-92.32,3,17705404450000,11898.0
24.8,195.0,29.29,-92.32,3,17705404450000,11900.0
29.4,310.0,29.29,-92.32,3,17705404450000,12476.0
18.9,0.5,29.29,-92.32,1,17705404450000,13965.0
19.4,0.6,29.29,-92.32,1,17705404450000,13972.0
21.7,7.2,29.29,-92.32,2,17705404450000,15013.0
20.5,5.8,29.29,-92.32,2,17705404450000,15021.0
21.6,7.1,29.29,-92.32,2,17705404450000,15030.0
27.3,140.0,29.29,-92.32,3,17705404450000,15035.0
27.7,165.0,29.29,-92.32,3,17705404450000,15037.0
28.3,200.0,29.29,-92.32,3,17705404450000,15043.0
23.8,17.0,29.29,-92.32,2,17705404450000,15054.0
26.5,40.0,29.29,-92.32,3,17705404450000,15056.0
25.8,33.0,29.29,-92.32,3,17705404450000,15075.0
