PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
14.7,3.9,28.18,-91.97,1,17708405080000,6529.0
15.0,5.2,28.18,-91.97,1,17708405080000,6530.0
14.2,4.8,28.18,-91.97,1,17708405080000,6531.0
14.6,3.1,28.18,-91.97,1,17708405080000,6532.0
13.9,1.8,28.18,-91.97,1,17708405080000,6593.0
15.6,4.0,28.18,-91.97,1,17708405080000,6597.0
20.3,8.5,28.18,-91.97,3,17708405080000,6674.0
27.5,91.6,28.18,-91.97,2,17708405080000,6678.0
25.9,78.3,28.18,-91.97,2,17708405080000,6679.0
26.4,110.0,28.18,-91.97,2,17708405080000,6718.0
27.1,99.5,28.18,-91.97,2,17708405080000,6722.0
25.8,85.7,28.18,-91.97,2,17708405080000,6838.0
27.6,122.0,28.18,-91.97,2,17708405080000,6845.0
13.8,3.8,28.18,-91.97,1,17708405080000,7445.0
15.6,5.2,28.18,-91.97,1,17708405080000,7447.0
14.8,2.6,28.18,-91.97,1,17708405080000,7453.0
19.6,6.1,28.18,-91.97,3,17708405080000,7454.0
13.7,1.6,28.18,-91.97,1,17708405080000,7455.0
24.4,60.4,28.18,-91.97,2,17708405080000,7471.0
17.3,6.8,28.18,-91.97,3,17708405080000,7471.5
23.7,28.5,28.18,-91.97,2,17708405080000,7472.0
14.5,3.9,28.18,-91.97,1,17708405080000,7472.5
17.8,8.6,28.18,-91.97,3,17708405080000,7531.0
16.8,6.5,28.18,-91.97,3,17708405080000,7532.0
15.6,3.2,28.18,-91.97,1,17708405080000,7533.0
14.9,4.1,28.18,-91.97,1,17708405080000,7535.0
14.7,2.5,28.18,-91.97,1,17708405080000,7536.0
15.5,5.3,28.18,-91.97,1,17708405080000,7541.5
13.6,3.7,28.18,-91.97,1,17708405080000,7552.0
20.8,8.2,28.18,-91.97,3,17708405080000,7555.0
22.4,14.4,28.18,-91.97,3,17708405080000,7564.0
21.7,12.8,28.18,-91.97,3,17708405080000,7565.0
17.5,3.6,28.18,-91.97,1,17708405080000,7568.0
15.9,5.1,28.18,-91.97,1,17708405080000,7570.0
20.3,7.9,28.18,-91.97,3,17708405080000,7575.0
19.9,8.2,28.18,-91.97,3,17708405080000,7579.0
29.6,160.0,28.18,-91.97,2,17708405080000,7586.0
14.9,2.1,28.18,-91.97,1,17708405080000,7587.0
22.5,9.9,28.18,-91.97,3,17708405080000,7588.0
25.8,18.2,28.18,-91.97,3,17708405080000,7593.0
14.8,5.2,28.18,-91.97,1,17708405080000,7597.0
26.9,70.0,28.18,-91.97,2,17708405080000,7599.0
