PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
19.4,5.3,27.91,-98.32,2,42131370970000,3014.0
20.0,6.2,27.91,-98.32,2,42131370970000,3016.0
22.1,21.0,27.91,-98.32,3,42131370970000,3018.0
26.7,87.0,27.91,-98.32,1,42131370970000,3020.0
26.2,101.0,27.91,-98.32,1,42131370970000,3022.0
28.0,209.0,27.91,-98.32,1,42131370970000,3024.0
26.5,115.0,27.91,-98.32,1,42131370970000,3026.0
25.7,73.0,27.91,-98.32,1,42131370970000,3028.0
19.8,4.2,27.91,-98.32,2,42131370970000,3030.0
25.0,49.0,27.91,-98.32,1,42131370970000,3034.0
24.5,40.0,27.91,-98.32,1,42131370970000,3036.0
20.6,10.0,27.91,-98.32,2,42131370970000,3038.0
19.1,4.9,27.91,-98.32,2,42131370970000,3040.0
27.3,156.0,27.91,-98.32,1,42131370970000,3874.0
30.9,753.0,27.91,-98.32,1,42131370970000,3882.0
30.2,475.0,27.91,-98.32,1,42131370970000,3884.0
23.4,36.0,27.91,-98.32,3,42131370970000,3962.0
25.2,110.0,27.91,-98.32,3,42131370970000,3964.0
26.0,149.0,27.91,-98.32,3,42131370970000,3966.0
19.7,8.3,27.91,-98.32,2,42131370970000,3972.0
24.8,71.0,27.91,-98.32,3,42131370970000,3974.0
22.4,22.0,27.91,-98.32,3,42131370970000,4130.0
24.0,58.0,27.91,-98.32,3,42131370970000,4132.0
