PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
27.1,18.0,30.51,-92.33,2,17097207770000,8441.0
16.8,0.8,30.51,-92.33,1,17097207770000,8444.0
25.7,94.0,30.51,-92.33,2,17097207770000,8445.0
15.7,0.6,30.51,-92.33,1,17097207770000,8781.0
15.0,0.7,30.51,-92.33,1,17097207770000,8782.0
19.9,11.0,30.51,-92.33,2,17097207770000,8783.0
20.6,14.0,30.51,-92.33,2,17097207770000,8784.0
15.6,0.3,30.51,-92.33,1,17097207770000,8785.0
14.5,0.1,30.51,-92.33,1,17097207770000,8786.0
12.3,0.1,30.51,-92.33,1,17097207770000,8806.0
0.1,0.1,30.51,-92.33,1,17097207770000,8807.0
25.4,79.0,30.51,-92.33,2,17097207770000,8879.0
32.4,1690.0,30.51,-92.33,3,17097207770000,8937.0
31.9,1550.0,30.51,-92.33,3,17097207770000,8938.0
14.9,0.6,30.51,-92.33,1,17097207770000,8944.0
15.2,1.2,30.51,-92.33,1,17097207770000,8947.0
15.3,1.0,30.51,-92.33,1,17097207770000,9108.0
15.6,2.2,30.51,-92.33,1,17097207770000,9221.0
18.9,13.0,30.51,-92.33,2,17097207770000,9321.0
19.3,24.0,30.51,-92.33,2,17097207770000,9322.0
13.6,0.1,30.51,-92.33,1,17097207770000,9326.0
14.0,0.1,30.51,-92.33,1,17097207770000,9327.0
18.4,17.0,30.51,-92.33,2,17097207770000,9368.0
18.2,14.0,30.51,-92.33,2,17097207770000,9369.0
15.0,0.3,30.51,-92.33,1,17097207770000,9370.0
21.2,32.0,30.51,-92.33,2,17097207770000,9371.0
19.7,10.0,30.51,-92.33,2,17097207770000,9372.0
15.1,0.8,30.51,-92.33,1,17097207770000,9384.0
24.7,76.0,30.51,-92.33,2,17097207770000,9482.0
15.7,1.0,30.51,-92.33,1,17097207770000,9483.0
15.5,1.3,30.51,-92.33,1,17097207770000,9485.0
15.8,1.7,30.51,-92.33,1,17097207770000,9486.0
