PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
17.6,3.7,28.42,-94.05,1,42709403170000,5493.0
18.0,9.6,28.42,-94.05,2,42709403170000,5507.0
12.8,2.3,28.42,-94.05,1,42709403170000,5681.0
19.2,11.6,28.42,-94.05,2,42709403170000,5689.5
22.9,61.5,28.42,-94.05,2,42709403170000,5744.0
17.5,12.8,28.42,-94.05,2,42709403170000,5779.0
21.9,42.7,28.42,-94.05,2,42709403170000,5851.5
20.6,72.2,28.42,-94.05,2,42709403170000,5860.0
18.4,16.9,28.42,-94.05,2,42709403170000,5873.0
22.7,138.0,28.42,-94.05,3,42709403170000,5944.0
19.3,38.9,28.42,-94.05,2,42709403170000,7401.0
20.3,36.8,28.42,-94.05,2,42709403170000,7857.5
15.3,3.0,28.42,-94.05,1,42709403170000,7895.5
30.1,749.0,28.42,-94.05,3,42709403170000,8058.0
27.8,531.0,28.42,-94.05,3,42709403170000,8059.0
28.6,405.0,28.42,-94.05,3,42709403170000,8060.0
31.9,1280.0,28.42,-94.05,3,42709403170000,8062.0
27.5,183.0,28.42,-94.05,3,42709403170000,8063.0
26.3,212.0,28.42,-94.05,3,42709403170000,8064.0
29.8,8810.0,28.42,-94.05,3,42709403170000,8077.5
29.3,639.0,28.42,-94.05,3,42709403170000,8081.0
30.2,729.0,28.42,-94.05,3,42709403170000,8244.0
19.7,20.6,28.42,-94.05,2,42709403170000,8250.0
4.2,11.5,28.42,-94.05,1,42709403170000,8315.0
15.7,7.3,28.42,-94.05,1,42709403170000,8315.0
17.4,4.7,28.42,-94.05,1,42709403170000,8322.0
25.1,306.0,28.42,-94.05,3,42709403170000,8350.0
25.1,306.0,28.42,-94.05,3,42709403170000,8361.5
29.5,351.0,28.42,-94.05,3,42709403170000,8362.0
27.3,277.0,28.42,-94.05,3,42709403170000,8365.0
26.5,309.0,28.42,-94.05,3,42709403170000,8367.0
28.1,256.0,28.42,-94.05,3,42709403170000,8368.0
30.7,485.0,28.42,-94.05,3,42709403170000,8369.0
29.3,517.0,28.42,-94.05,3,42709403170000,8370.0
31.6,693.0,28.42,-94.05,3,42709403170000,8371.0
31.6,653.0,28.42,-94.05,3,42709403170000,8374.0
29.2,807.0,28.42,-94.05,3,42709403170000,8375.0
20.7,10.3,28.42,-94.05,2,42709403170000,8389.0
30.4,460.0,28.42,-94.05,3,42709403170000,8389.0
27.8,329.0,28.42,-94.05,3,42709403170000,8706.0
26.4,211.0,28.42,-94.05,3,42709403170000,8708.0
29.0,286.0,28.42,-94.05,3,42709403170000,8710.0
18.2,4.9,28.42,-94.05,1,42709403170000,8870.0
20.7,13.6,28.42,-94.05,2,42709403170000,8871.0
31.6,533.0,28.42,-94.05,3,42709403170000,8873.0
28.4,348.0,28.42,-94.05,3,42709403170000,8875.0
23.4,89.5,28.42,-94.05,3,42709403170000,9050.5
22.9,128.0,28.42,-94.05,3,42709403170000,9052.0
25.2,214.0,28.42,-94.05,3,42709403170000,9053.0
27.3,338.0,28.42,-94.05,3,42709403170000,9055.0
