PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
17.1,5.2,29.72,-92.64,2,17023221620000,14301.0
21.9,24.0,29.72,-92.64,1,17023221620000,14303.0
15.2,4.5,29.72,-92.64,2,17023221620000,14305.0
23.3,42.0,29.72,-92.64,1,17023221620000,14458.0
25.2,169.0,29.72,-92.64,3,17023221620000,14459.0
26.3,373.0,29.72,-92.64,3,17023221620000,14460.0
16.7,4.8,29.72,-92.64,2,17023221620000,14461.0
17.6,6.1,29.72,-92.64,2,17023221620000,14462.0
24.3,51.0,29.72,-92.64,1,17023221620000,14465.0
17.4,6.6,29.72,-92.64,2,17023221620000,14466.0
25.7,188.0,29.72,-92.64,3,17023221620000,14468.0
25.8,195.0,29.72,-92.64,3,17023221620000,14470.0
17.5,6.4,29.72,-92.64,2,17023221620000,14477.0
23.5,57.0,29.72,-92.64,1,17023221620000,14479.0
16.3,5.3,29.72,-92.64,2,17023221620000,14483.0
17.4,6.5,29.72,-92.64,2,17023221620000,14485.0
16.2,5.2,29.72,-92.64,2,17023221620000,14487.0
17.4,6.7,29.72,-92.64,2,17023221620000,14491.0
16.6,5.0,29.72,-92.64,2,17023221620000,14494.0
15.4,4.2,29.72,-92.64,2,17023221620000,14497.0
23.3,34.0,29.72,-92.64,1,17023221620000,14552.0
23.1,42.0,29.72,-92.64,1,17023221620000,14562.0
21.4,18.0,29.72,-92.64,1,17023221620000,14572.0
