PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
29.9,1375.0,27.24,-98.78,2,42247308290000,2372.0
30.2,1120.0,27.24,-98.78,2,42247308290000,2374.0
25.7,496.0,27.24,-98.78,3,42247308290000,2816.0
25.0,271.0,27.24,-98.78,3,42247308290000,2818.0
19.7,3.7,27.24,-98.78,1,42247308290000,3037.0
25.7,349.0,27.24,-98.78,3,42247308290000,3403.0
30.2,513.0,27.24,-98.78,2,42247308290000,3405.0
20.3,12.0,27.24,-98.78,1,42247308290000,3657.0
21.5,21.0,27.24,-98.78,1,42247308290000,3658.0
25.3,185.0,27.24,-98.78,3,42247308290000,3660.0
25.8,231.0,27.24,-98.78,3,42247308290000,3662.0
19.6,7.1,27.24,-98.78,1,42247308290000,3810.0
18.9,5.9,27.24,-98.78,1,42247308290000,3817.0
22.1,39.0,27.24,-98.78,1,42247308290000,3949.0
18.5,4.6,27.24,-98.78,1,42247308290000,4019.0
19.3,3.7,27.24,-98.78,1,42247308290000,5292.0
18.8,2.8,27.24,-98.78,1,42247308290000,5546.0
22.5,26.0,27.24,-98.78,1,42247308290000,5557.0
19.6,6.1,27.24,-98.78,1,42247308290000,5560.0
