PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
16.4,0.5,28.97,-99.98,3,42507310440000,419.0
16.1,0.4,28.97,-99.98,3,42507310440000,421.0
28.1,760.0,28.97,-99.98,2,42507310440000,443.0
28.3,729.0,28.97,-99.98,2,42507310440000,445.0
27.6,604.0,28.97,-99.98,2,42507310440000,447.0
17.4,3.9,28.97,-99.98,3,42507310440000,611.0
17.7,4.6,28.97,-99.98,3,42507310440000,613.0
22.6,54.0,28.97,-99.98,1,42507310440000,680.0
21.7,43.0,28.97,-99.98,1,42507310440000,681.0
19.7,9.4,28.97,-99.98,1,42507310440000,709.0
21.8,47.0,28.97,-99.98,1,42507310440000,710.0
16.7,0.8,28.97,-99.98,3,42507310440000,780.0
16.5,0.9,28.97,-99.98,3,42507310440000,808.0
16.1,0.2,28.97,-99.98,3,42507310440000,810.0
20.2,21.0,28.97,-99.98,1,42507310440000,812.0
20.9,34.0,28.97,-99.98,1,42507310440000,818.0
19.8,9.9,28.97,-99.98,1,42507310440000,821.0
20.9,23.0,28.97,-99.98,1,42507310440000,823.0
21.5,39.0,28.97,-99.98,1,42507310440000,825.0
21.8,43.0,28.97,-99.98,1,42507310440000,827.0
21.3,38.0,28.97,-99.98,1,42507310440000,828.0
21.9,54.0,28.97,-99.98,1,42507310440000,829.0
16.9,0.8,28.97,-99.98,3,42507310440000,890.0
16.4,0.5,28.97,-99.98,3,42507310440000,914.0
16.7,0.7,28.97,-99.98,3,42507310440000,917.0
16.4,0.9,28.97,-99.98,3,42507310440000,920.0
17.0,0.9,28.97,-99.98,3,42507310440000,926.0
16.8,0.7,28.97,-99.98,3,42507310440000,928.0
