PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
17.7,8.8,28.51,-90.37,1,17715007380100,7716.0
23.9,7.7,28.51,-90.37,1,17715007380100,7724.0
29.3,5.6,28.51,-90.37,1,17715007380100,7735.0
25.8,4.2,28.51,-90.37,1,17715007380100,7747.0
32.7,820.0,28.51,-90.37,2,17715007380100,7967.0
35.0,700.0,28.51,-90.37,2,17715007380100,7983.0
31.8,130.0,28.51,-90.37,2,17715007380100,8541.0
25.4,170.0,28.51,-90.37,3,17715007380100,8543.0
26.9,420.0,28.51,-90.37,3,17715007380100,8704.0
34.2,1300.0,28.51,-90.37,2,17715007380100,8736.0
26.1,480.0,28.51,-90.37,3,17715007380100,8760.0
33.2,1200.0,28.51,-90.37,2,17715007380100,8768.0
27.7,810.0,28.51,-90.37,3,17715007380100,8775.0
28.4,690.0,28.51,-90.37,3,17715007380100,8797.0
28.2,700.0,28.51,-90.37,3,17715007380100,8803.0
27.7,710.0,28.51,-90.37,3,17715007380100,8813.0
31.3,830.0,28.51,-90.37,2,17715007380100,8825.0
32.2,700.0,28.51,-90.37,2,17715007380100,8843.0
33.5,710.0,28.51,-90.37,2,17715007380100,8858.0
32.4,630.0,28.51,-90.37,2,17715007380100,8887.0
25.4,280.0,28.51,-90.37,3,17715007380100,8917.0
27.5,400.0,28.51,-90.37,3,17715007380100,8934.0
20.4,8.8,28.51,-90.37,1,17715007380100,8995.0
19.4,7.2,28.51,-90.37,1,17715007380100,9000.0
22.7,8.2,28.51,-90.37,1,17715007380100,9010.0
21.0,7.4,28.51,-90.37,1,17715007380100,9050.0
20.4,7.2,28.51,-90.37,1,17715007380100,9385.0
20.6,3.4,28.51,-90.37,1,17715007380100,9395.0
18.3,6.4,28.51,-90.37,1,17715007380100,9401.0
21.4,5.8,28.51,-90.37,1,17715007380100,9466.0
19.1,8.0,28.51,-90.37,1,17715007380100,9514.0
18.6,1.3,28.51,-90.37,1,17715007380100,9520.0
28.9,270.0,28.51,-90.37,3,17715007380100,9550.0
23.6,9.6,28.51,-90.37,1,17715007380100,9783.0
32.6,280.0,28.51,-90.37,2,17715007380100,9796.0
22.9,20.0,28.51,-90.37,1,17715007380100,9824.0
18.8,2.2,28.51,-90.37,1,17715007380100,9895.0
33.9,650.0,28.51,-90.37,2,17715007380100,9897.0
