PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
20.2,0.7,28.87,-89.28,1,17721200730000,7206.0
19.8,0.6,28.87,-89.28,1,17721200730000,7324.0
18.7,0.3,28.87,-89.28,1,17721200730000,7596.0
19.9,3.0,28.87,-89.28,1,17721200730000,8222.0
26.8,100.0,28.87,-89.28,3,17721200730000,8472.0
27.1,125.0,28.87,-89.28,3,17721200730000,8636.0
21.5,15.0,28.87,-89.28,2,17721200730000,8696.0
27.4,140.0,28.87,-89.28,3,17721200730000,8793.0
26.2,95.0,28.87,-89.28,3,17721200730000,8795.0
19.5,4.5,28.87,-89.28,1,17721200730000,8806.0
29.7,750.0,28.87,-89.28,3,17721200730000,8808.0
19.2,0.5,28.87,-89.28,1,17721200730000,8810.0
22.0,1.5,28.87,-89.28,1,17721200730000,8812.0
26.3,98.0,28.87,-89.28,3,17721200730000,8814.0
23.9,15.0,28.87,-89.28,2,17721200730000,8816.0
19.1,0.5,28.87,-89.28,1,17721200730000,8818.0
20.7,0.8,28.87,-89.28,1,17721200730000,8820.0
20.3,0.5,28.87,-89.28,1,17721200730000,8824.0
26.9,85.0,28.87,-89.28,3,17721200730000,9151.0
23.6,13.0,28.87,-89.28,2,17721200730000,9152.0
25.5,70.0,28.87,-89.28,3,17721200730000,9782.0
23.6,40.0,28.87,-89.28,2,17721200730000,9783.0
20.0,6.8,28.87,-89.28,2,17721200730000,10803.0
22.5,30.0,28.87,-89.28,2,17721200730000,11857.0
26.5,120.0,28.87,-89.28,3,17721200730000,11937.0
27.7,150.0,28.87,-89.28,3,17721200730000,11938.0
23.5,15.0,28.87,-89.28,2,17721200730000,11940.0
23.0,20.0,28.87,-89.28,2,17721200730000,11942.0
21.3,6.3,28.87,-89.28,2,17721200730000,11946.0
24.2,35.0,28.87,-89.28,2,17721200730000,12410.0
24.6,60.0,28.87,-89.28,3,17721200730000,12414.0
20.6,25.0,28.87,-89.28,2,17721200730000,12415.0
25.9,70.0,28.87,-89.28,3,17721200730000,12419.0
24.9,62.0,28.87,-89.28,3,17721200730000,12423.0
25.7,65.0,28.87,-89.28,3,17721200730000,12424.0
25.2,68.0,28.87,-89.28,3,17721200730000,12433.0
17.8,0.2,28.87,-89.28,1,17721200730000,12442.0
22.8,30.0,28.87,-89.28,2,17721200730000,12447.0
24.5,60.0,28.87,-89.28,3,17721200730000,12453.0
25.7,75.0,28.87,-89.28,3,17721200730000,12455.0
26.4,80.0,28.87,-89.28,3,17721200730000,12776.0
