PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
19.3,5.1,28.09,-99.47,1,42479317860000,2274.0
17.8,0.9,28.09,-99.47,2,42479317860000,7076.0
21.1,16.0,28.09,-99.47,3,42479317860000,7079.0
17.2,0.2,28.09,-99.47,2,42479317860000,7081.0
19.8,7.9,28.09,-99.47,1,42479317860000,7082.0
17.7,0.5,28.09,-99.47,2,42479317860000,7089.0
19.8,8.4,28.09,-99.47,1,42479317860000,7101.0
19.2,4.1,28.09,-99.47,1,42479317860000,7109.0
18.0,0.9,28.09,-99.47,2,42479317860000,7187.0
18.9,3.1,28.09,-99.47,1,42479317860000,7188.0
17.3,0.3,28.09,-99.47,2,42479317860000,7190.0
16.3,0.7,28.09,-99.47,2,42479317860000,7197.0
19.0,5.1,28.09,-99.47,1,42479317860000,7198.0
18.7,2.2,28.09,-99.47,1,42479317860000,7199.0
17.9,0.8,28.09,-99.47,2,42479317860000,7201.0
16.9,0.3,28.09,-99.47,2,42479317860000,7209.0
18.9,1.9,28.09,-99.47,1,42479317860000,7210.0
