PORO,PERM,SURFACE_LATITUDE,SURFACE_LONGITUDE,CLASS,UWI,INTERVAL_DEPTH
19.8,5.4,28.39,-94.17,3,42709408560000,5109.0
29.3,117.0,28.39,-94.17,1,42709408560000,5110.0
29.7,151.0,28.39,-94.17,1,42709408560000,5778.0
19.6,5.5,28.39,-94.17,3,42709408560000,5779.0
20.4,8.9,28.39,-94.17,3,42709408560000,5780.0
26.2,43.0,28.39,-94.17,1,42709408560000,5781.0
26.8,45.0,28.39,-94.17,1,42709408560000,5789.0
27.5,100.0,28.39,-94.17,1,42709408560000,5799.0
26.8,101.0,28.39,-94.17,1,42709408560000,5800.0
26.9,95.0,28.39,-94.17,1,42709408560000,5801.0
20.0,7.8,28.39,-94.17,3,42709408560000,5801.5
30.9,137.0,28.39,-94.17,1,42709408560000,5802.0
29.8,98.0,28.39,-94.17,1,42709408560000,5803.0
27.0,37.0,28.39,-94.17,1,42709408560000,5805.5
22.8,9.6,28.39,-94.17,3,42709408560000,5811.9
21.0,6.7,28.39,-94.17,3,42709408560000,5814.0
20.8,2.3,28.39,-94.17,3,42709408560000,5814.5
30.7,272.0,28.39,-94.17,1,42709408560000,5817.0
23.4,8.2,28.39,-94.17,3,42709408560000,5818.0
24.1,27.0,28.39,-94.17,1,42709408560000,5819.0
32.7,501.0,28.39,-94.17,2,42709408560000,5820.0
21.5,6.3,28.39,-94.17,3,42709408560000,5820.5
27.5,89.0,28.39,-94.17,1,42709408560000,5821.0
28.3,73.0,28.39,-94.17,1,42709408560000,5822.0
27.0,49.0,28.39,-94.17,1,42709408560000,5826.0
32.4,520.0,28.39,-94.17,2,42709408560000,5827.0
31.9,417.0,28.39,-94.17,2,42709408560000,5828.0
31.9,515.0,28.39,-94.17,2,42709408560000,5829.0
29.6,208.0,28.39,-94.17,1,42709408560000,5830.0
31.0,387.0,28.39,-94.17,2,42709408560000,5831.0
32.1,501.0,28.39,-94.17,2,42709408560000,5833.0
31.9,471.0,28.39,-94.17,2,42709408560000,5835.0
32.8,584.0,28.39,-94.17,2,42709408560000,5839.0
31.8,449.0,28.39,-94.17,2,42709408560000,5840.0
32.3,539.0,28.39,-94.17,2,42709408560000,5841.9
31.7,456.0,28.39,-94.17,2,42709408560000,5842.0
29.8,268.0,28.39,-94.17,1,42709408560000,5843.0
25.4,23.0,28.39,-94.17,1,42709408560000,5844.0
26.8,44.0,28.39,-94.17,1,42709408560000,5878.0
25.8,57.0,28.39,-94.17,1,42709408560000,5882.0
23.5,6.9,28.39,-94.17,3,42709408560000,5893.0
24.8,14.0,28.39,-94.17,1,42709408560000,6160.0
